barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
0076-0009461400001  ,COMPRESSOR MODEL: SC15CLX-2 208-230V 60 HZ DANFOSS          ,     14200.00,02/26/2024,MACH. & EQPT.       ,COMPRESSOR                                        ,         5,ROSE EN HONEY FOODLINE INC.   ,PM-JOLLIBEE                                       ,FAACQ               
0078-0010134300001  ,EPSON L3210 AIO PRINTER                                     ,      7852.68,07/23/2024,OFF. EQPT.          ,PRINTER                                           ,         3,CRUST & PEPPER FOODLANE INC.  ,ICM-RED RIBBON LGF                                ,FAACQ               
0078-0000373200001  ,CASH VAULT                                                  ,      4285.71,07/23/2024,FUR. & FIXT.        ,VAULT                                             ,        10,CRUST & PEPPER FOODLANE INC.  ,ICM-RED RIBBON LGF                                ,FAACQ               
0076-0010547600001  ,AIR CURTAIN IWATA (36INCHES)                                ,      8995.71,09/16/2024,MACH. & EQPT.       ,AIR CURTAIN                                       ,         3,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FAACQ               
0077-0010343600001  ,EASYFLOW AUTOMATIC HAND DRYER                               ,      2588.39,09/18/2024,STR. EQPT.          ,HAND DRYER                                        ,         5,CHARCOAL & CHOP FOODLINE INC. ,ICM-MANG INASAL                                   ,FAACQ               
0076-0008487500001  ,EPSON L121 (INK TANK) PRINTER                               ,      4906.25,11/05/2024,OFF. EQPT.          ,PRINTER                                           ,         3,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FAACQ               
0076-0010551400001  ,HAND DRYER KAISER FL-2 000 WHT                              ,      1419.65,11/12/2024,MACH. & EQPT.       ,HAND DRYER                                        ,         5,ROSE EN HONEY FOODLINE INC.   ,PM-JOLLIBEE                                       ,FAACQ               
0076-0010551400002  ,HAND DRYER KAISER FL-2 000 WHT                              ,      1419.65,11/12/2024,MACH. & EQPT.       ,HAND DRYER                                        ,         5,ROSE EN HONEY FOODLINE INC.   ,PM-JOLLIBEE                                       ,FAACQ               
0076-0010180400001  ,AOC 24B1XH2 23.8"" IPS WIDE VIEWING MONITOR 100HZ            ,      4866.07,11/12/2024,OFF. EQPT.          ,MONITOR                                           ,         3,ROSE EN HONEY FOODLINE INC.   ,PM-JOLLIBEE                                       ,FAACQ               
0076-0010180400002  ,AOC 24B1XH2 23.8"" IPS WIDE VIEWING MONITOR 100HZ            ,      4866.07,11/12/2024,OFF. EQPT.          ,MONITOR                                           ,         3,ROSE EN HONEY FOODLINE INC.   ,PM-JOLLIBEE                                       ,FAACQ               
0077-0008569700002  ,FCU-1 42BHC600 5.0 TR                                       ,     49307.15,10/18/2023,MACH. & EQPT.       ,OTHERS                                            ,         7,ROAST & TOAST FOODLINE INC.   ,AC-JOLLIBEE                                       ,FA_TRAN             
0077-0010801500001  ,CUTLERY WARMER HEATER AND THERMOSTAT                        ,      1964.29,11/25/2024,STR. EQPT.          ,HEATER                                            ,         5,CHARCOAL & CHOP FOODLINE INC. ,ICM-MANG INASAL                                   ,FAACQ               
